EODDate,EODPrice
39814,40
39815,39.19
39818,39.08
39819,38.56
39820,43.39
39821,42.56
39822,42.82
39825,45.84
39826,43.27
39827,49.14
39828,51
39829,46.11
39832,46.11
39833,56.65
39834,46.42
39835,47.29
39836,47.27
39839,45.69
39840,42.25
39841,39.66
39842,42.63
39843,44.84
39846,45.52
39847,43.06
39848,43.85
39849,43.73
39850,43.37
39853,43.64
39854,46.67
39855,44.53
39856,41.25
39857,42.93
39860,42.93
39861,48.66
39862,48.46
39863,47.08
39864,49.3
39867,52.62
39868,45.49
39869,44.67
39870,44.66
39871,46.35
39874,52.65
39875,50.93
39876,47.56
39877,50.17
39878,49.33
39881,49.68
39882,44.37
39883,43.61
39884,41.18
39885,42.36
39888,43.74
39889,40.8
39890,40.06
39891,43.68
39892,45.89
39895,43.23
39896,42.93
39897,42.25
39898,40.36
39899,41.04
39902,45.54
39903,44.14
39904,42.28
39905,42.04
39906,39.7
39909,40.93
39910,40.39
39911,38.85
39912,36.53
39913,36.53
39916,37.81
39917,37.67
39918,36.17
39919,35.79
39920,33.94
39923,39.18
39924,37.14
39925,38.1
39926,37.15
39927,36.82
39930,38.32
39931,37.95
39932,36.08
39933,36.5
39934,35.3
39937,34.53
39938,33.36
39939,32.45
39940,33.44
39941,32.05
39944,32.87
39945,31.8
39946,33.65
39947,31.37
39948,33.12
39951,30.24
39952,28.8
39953,29.03
39954,31.35
39955,32.63
39958,32.63
39959,30.62
39960,32.36
39961,31.67
39962,28.92
39965,30.04
39966,29.63
39967,31.02
39968,30.18
39969,29.62
39972,29.77
39973,28.27
39974,28.46
39975,28.11
39976,28.15
39979,30.81
39980,32.68
39981,31.54
39982,30.03
39983,27.99
39986,31.17
39987,30.58
39988,29.05
39989,26.36
39990,25.93
39993,25.35
39994,26.35
39995,26.22
39996,27.95
39997,27.95
40000,29
40001,30.85
40002,31.3
40003,29.78
40004,29.02
40007,26.31
40008,25.02
40009,25.89
40010,25.42
40011,24.34
40014,24.4
40015,23.87
40016,23.47
40017,23.43
40018,23.09
40021,24.28
40022,25.01
40023,25.61
40024,25.4
40025,25.92
40028,25.56
40029,24.89
40030,24.9
40031,25.67
40032,24.76
40035,24.99
40036,25.99
40037,25.45
40038,24.71
40039,24.27
40042,27.89
40043,26.18
40044,26.26
40045,25.09
40046,25.01
40049,25.14
40050,24.92
40051,24.95
40052,24.68
40053,24.76
40056,26.01
40057,29.15
40058,28.9
40059,27.1
40060,25.26
40063,25.26
40064,25.62
40065,24.32
40066,23.55
40067,24.15
40070,23.86
40071,23.42
40072,23.69
40073,23.65
40074,23.92
40077,24.06
40078,23.08
40079,23.49
40080,24.95
40081,25.61
40084,24.88
40085,25.19
40086,25.61
40087,28.27
40088,28.68
40091,26.84
40092,25.7
40093,24.68
40094,24.18
40095,23.12
40098,23.01
40099,22.99
40100,22.86
40101,21.72
40102,21.43
40105,21.49
40106,20.9
40107,22.22
40108,20.69
40109,22.27
40112,24.31
40113,24.83
40114,27.91
40115,24.76
40116,30.69
40119,29.78
40120,28.81
40121,27.72
40122,25.43
40123,24.19
40126,23.15
40127,22.84
40128,23.04
40129,24.24
40130,23.36
40133,22.89
40134,22.41
40135,21.63
40136,22.63
40137,22.19
40140,21.16
40141,20.47
40142,20.48
40143,20.48
40144,24.74
40147,24.51
40148,21.92
40149,21.12
40150,22.46
40151,21.25
40154,22.1
40155,23.69
40156,22.66
40157,22.32
40158,21.59
40161,21.15
40162,21.49
40163,20.54
40164,22.51
40165,21.68
40168,20.49
40169,19.54
40170,19.71
40171,19.47
40172,19.47
40175,19.93
40176,20.01
40177,19.96
40178,21.68
40179,21.68
40182,20.04
40183,19.35
40184,19.16
40185,19.06
40186,18.13
40189,17.55
40190,18.25
40191,17.85
40192,17.63
40193,17.91
40196,17.91
40197,17.58
40198,18.68
40199,22.27
40200,27.31
40203,25.41
40204,24.55
40205,23.14
40206,23.73
40207,24.62
40210,22.59
40211,21.48
40212,21.6
40213,26.08
40214,26.11
40217,26.51
40218,26
40219,25.4
40220,23.96
40221,22.73
40224,22.73
40225,22.25
40226,21.72
40227,20.63
40228,20.02
40231,19.94
40232,21.37
40233,20.27
40234,20.1
40235,19.5
40238,19.26
40239,19.06
40240,18.83
40241,18.72
40242,17.42
40245,17.79
40246,17.92
40247,18.57
40248,18.06
40249,17.58
40252,18
40253,17.69
40254,16.91
40255,16.62
40256,16.97
40259,16.87
40260,16.35
40261,17.55
40262,18.4
40263,17.77
40266,17.59
40267,17.13
40268,17.59
40269,17.47
40270,17.47
40273,17.02
40274,16.23
40275,16.62
40276,16.48
40277,16.14
40280,15.58
40281,16.2
40282,15.59
40283,15.89
40284,18.36
40287,17.34
40288,15.73
40289,16.32
40290,16.47
40291,16.62
40294,17.47
40295,22.81
40296,21.08
40297,18.44
40298,22.05
40301,20.19
40302,23.84
40303,24.91
40304,32.8
40305,40.95
40308,28.84
40309,28.32
40310,25.52
40311,26.68
40312,31.24
40315,30.84
40316,33.55
40317,35.32
40318,45.79
40319,40.1
40322,38.32
40323,34.61
40324,35.02
40325,29.68
40326,32.07
40329,32.07
40330,35.54
40331,30.17
40332,29.46
40333,35.48
40336,36.57
40337,33.7
40338,33.73
40339,30.57
40340,28.79
40343,28.58
40344,25.87
40345,25.92
40346,25.05
40347,23.95
40350,24.88
40351,27.05
40352,26.91
40353,29.74
40354,28.53
40357,29
40358,34.13
40359,34.54
40360,32.86
40361,30.12
40364,30.12
40365,29.65
40366,26.84
40367,25.71
40368,24.98
40371,24.43
40372,24.56
40373,24.89
40374,25.14
40375,26.25
40378,25.97
40379,23.93
40380,25.64
40381,24.63
40382,23.47
40385,22.73
40386,23.19
40387,24.25
40388,24.13
40389,23.5
40392,22.01
40393,22.63
40394,22.21
40395,22.1
40396,21.74
40399,22.14
40400,22.37
40401,25.39
40402,25.73
40403,26.24
40406,26.1
40407,24.33
40408,24.59
40409,26.44
40410,25.49
40413,25.66
40414,27.46
40415,26.7
40416,27.37
40417,24.45
40420,27.21
40421,26.05
40422,23.89
40423,23.19
40424,21.31
40427,21.31
40428,23.8
40429,23.25
40430,22.81
40431,21.99
40434,21.21
40435,21.56
40436,22.1
40437,21.72
40438,22.01
40441,21.5
40442,22.35
40443,22.51
40444,23.87
40445,21.71
40448,22.54
40449,22.6
40450,23.25
40451,23.7
40452,22.5
40455,23.53
40456,21.76
40457,21.49
40458,21.56
40459,20.71
40462,18.96
40463,18.93
40464,19.07
40465,19.88
40466,19.03
40469,19.09
40470,20.63
40471,19.79
40472,19.27
40473,18.78
40476,19.85
40477,20.22
40478,20.71
40479,20.88
40480,21.2
40483,21.83
40484,21.57
40485,19.56
40486,18.52
40487,18.26
40490,18.29
40491,19.08
40492,18.47
40493,18.64
40494,20.61
40497,20.2
40498,22.58
40499,21.76
40500,18.75
40501,18.04
40504,18.37
40505,20.63
40506,19.56
40507,19.56
40508,22.22
40511,21.53
40512,23.54
40513,21.36
40514,19.39
40515,18.01
40518,18.02
40519,17.99
40520,17.74
40521,17.25
40522,17.61
40525,17.55
40526,17.61
40527,17.94
40528,17.39
40529,16.11
40532,16.41
40533,16.49
40534,15.45
40535,16.47
40536,16.47
40539,17.67
40540,17.52
40541,17.28
40542,17.52
40543,17.75
40546,17.61
40547,17.38
40548,17.02
40549,17.4
40550,17.14
40553,17.54
40554,16.89
40555,16.24
40556,16.39
40557,15.46
40560,15.46
40561,15.87
40562,17.31
40563,17.99
40564,18.47
40567,17.65
40568,17.59
40569,16.64
40570,16.15
40571,20.04
40574,19.53
40575,17.63
40576,17.3
40577,16.69
40578,15.93
40581,16.28
40582,15.81
40583,15.87
40584,16.09
40585,15.69
40588,15.95
40589,16.37
40590,16.72
40591,16.59
40592,16.43
40595,16.43
40596,20.8
40597,22.13
40598,21.32
40599,19.22
40602,18.35
40603,21.01
40604,20.7
40605,18.6
40606,19.06
40609,20.66
40610,19.82
40611,20.22
40612,21.88
40613,20.08
40616,21.13
40617,24.32
40618,29.4
40619,26.37
40620,24.44
40623,20.61
40624,20.21
40625,19.17
40626,18
40627,17.91
40630,19.44
40631,18.16
40632,17.71
40633,17.74
40634,17.4
40637,17.5
40638,17.25
40639,16.9
40640,17.11
40641,17.87
40644,16.59
40645,17.09
40646,16.92
40647,16.27
40648,15.32
40651,16.96
40652,15.83
40653,15.07
40654,14.69
40655,14.69
40658,15.77
40659,15.62
40660,15.35
40661,14.62
40662,14.75
40665,15.99
40666,16.7
40667,17.08
40668,18.2
40669,18.4
40672,17.16
40673,15.91
40674,16.95
40675,16.03
40676,17.07
40679,18.24
40680,17.55
40681,16.23
40682,15.52
40683,17.43
40686,18.27
40687,17.82
40688,17.07
40689,16.09
40690,15.98
40693,15.98
40694,15.45
40695,18.3
40696,18.09
40697,17.95
40700,18.49
40701,18.07
40702,18.79
40703,17.77
40704,18.86
40707,19.61
40708,18.26
40709,21.32
40710,22.73
40711,21.85
40714,19.99
40715,18.86
40716,18.52
40717,19.29
40718,21.1
40721,20.56
40722,19.17
40723,17.27
40724,16.52
40725,15.87
40728,15.87
40729,16.06
40730,16.34
40731,15.95
40732,15.95
40735,18.39
40736,19.87
40737,19.91
40738,20.8
40739,19.53
40742,20.95
40743,19.21
40744,19.09
40745,17.56
40746,17.52
40749,19.35
40750,20.23
40751,22.98
40752,23.74
40753,25.25
40756,23.66
40757,24.79
40758,23.38
40759,31.66
40760,32
40763,48
40764,35.06
40765,42.99
40766,39
40767,36.36
40770,31.87
40771,32.85
40772,31.58
40773,42.67
40774,43.05
40777,42.44
40778,36.27
40779,35.9
40780,39.76
40781,35.59
40784,32.28
40785,32.89
40786,31.62
40787,31.82
40788,33.92
40791,33.92
40792,37
40793,33.38
40794,34.32
40795,38.52
40798,38.59
40799,36.91
40800,34.6
40801,31.97
40802,30.98
40805,32.73
40806,32.86
40807,37.32
40808,41.35
40809,41.25
40812,39.02
40813,37.71
40814,41.08
40815,38.84
40816,42.96
40819,45.45
40820,40.82
40821,37.81
40822,36.27
40823,36.2
40826,33.02
40827,32.86
40828,31.26
40829,30.7
40830,28.24
40833,33.39
40834,31.56
40835,34.44
40836,34.78
40837,31.32
40840,29.26
40841,32.22
40842,29.86
40843,25.46
40844,24.53
40847,29.96
40848,34.77
40849,32.74
40850,30.5
40851,30.16
40854,29.85
40855,27.48
40856,36.16
40857,32.81
40858,30.04
40861,31.13
40862,31.22
40863,33.51
40864,34.51
40865,32
40868,32.91
40869,31.97
40870,33.98
40871,33.98
40872,34.47
40875,32.13
40876,30.64
40877,27.8
40878,27.41
40879,27.52
40882,27.84
40883,28.13
40884,28.67
40885,30.59
40886,26.38
40889,25.67
40890,25.41
40891,26.04
40892,25.11
40893,24.29
40896,24.92
40897,23.22
40898,21.43
40899,21.16
40900,20.73
40903,20.73
40904,21.91
40905,23.52
40906,22.65
40907,23.4
40910,23.4
40911,22.97
40912,22.22
40913,21.48
40914,20.63
40917,21.07
40918,20.69
40919,21.05
40920,20.47
40921,20.91
40924,20.91
40925,22.2
40926,20.89
40927,19.87
40928,18.28
40931,18.67
40932,18.91
40933,18.31
40934,18.57
40935,18.53
40938,19.4
40939,19.44
40940,18.55
40941,17.98
40942,17.1
40945,17.76
40946,17.65
40947,18.16
40948,18.63
40949,20.79
40952,19.04
40953,19.54
40954,21.14
40955,19.22
40956,17.78
40959,17.78
40960,18.19
40961,18.19
40962,16.8
40963,17.31
40966,18.19
40967,17.96
40968,18.43
40969,17.26
40970,17.29
40973,18.05
40974,20.87
40975,19.07
40976,17.95
40977,17.11
40980,15.64
40981,14.8
40982,15.31
40983,15.42
40984,14.47
40987,15.04
40988,15.58
40989,15.13
40990,15.57
40991,14.82
40994,14.26
40995,15.59
40996,15.47
40997,15.48
40998,15.5
41001,15.64
41002,15.66
41003,16.44
41004,16.7
41005,16.7
41008,18.81
41009,20.39
41010,20.02
41011,17.2
41012,19.55
41015,19.55
41016,18.46
41017,18.64
41018,18.36
41019,17.44
41022,18.97
41023,18.1
41024,16.82
41025,16.24
41026,16.32
41029,17.15
41030,16.6
41031,16.88
41032,17.56
41033,19.16
41036,18.94
41037,19.05
41038,20.08
41039,18.83
41040,19.89
41043,21.87
41044,21.97
41045,22.27
41046,24.49
41047,25.1
41050,22.01
41051,22.48
41052,22.33
41053,21.54
41054,21.76
41057,21.76
41058,21.03
41059,24.14
41060,24.06
41061,26.66
41064,26.12
41065,24.68
41066,22.16
41067,21.72
41068,21.23
41071,23.56
41072,22.09
41073,24.27
41074,21.68
41075,21.11
41078,18.32
41079,18.38
41080,17.24
41081,20.08
41082,18.11
41085,20.38
41086,19.72
41087,19.45
41088,19.71
41089,17.08
41092,16.8
41093,16.66
41094,16.66
41095,17.5
41096,17.1
41099,17.98
41100,18.72
41101,17.95
41102,18.33
41103,16.74
41106,17.11
41107,16.48
41108,16.16
41109,15.45
41110,16.27
41113,18.62
41114,20.47
41115,19.34
41116,17.53
41117,16.7
41120,18.03
41121,18.93
41122,18.96
41123,17.57
41124,15.64
41127,15.95
41128,15.99
41129,15.32
41130,15.28
41131,14.74
41134,13.7
41135,14.85
41136,14.63
41137,14.29
41138,13.45
41141,14.02
41142,15.02
41143,15.11
41144,15.96
41145,15.18
41148,16.35
41149,16.49
41150,17.06
41151,17.83
41152,17.47
41155,17.47
41156,17.98
41157,17.74
41158,15.6
41159,14.38
41162,16.28
41163,16.41
41164,15.8
41165,14.05
41166,14.51
41169,14.59
41170,14.18
41171,13.88
41172,14.07
41173,13.98
41176,14.15
41177,15.43
41178,16.81
41179,14.84
41180,15.73
41183,16.32
41184,15.71
41185,15.43
41186,14.55
41187,14.33
41190,15.11
41191,16.37
41192,16.29
41193,15.59
41194,16.14
41197,15.27
41198,15.22
41199,15.07
41200,15.03
41201,17.06
41204,16.62
41205,18.83
41206,18.33
41207,18.12
41208,17.81
41211,17.81
41212,17.81
41213,18.6
41214,16.69
41215,17.59
41218,18.42
41219,17.58
41220,19.08
41221,18.49
41222,18.61
41225,16.68
41226,16.65
41227,17.92
41228,17.99
41229,16.41
41232,15.24
41233,15.08
41234,15.31
41235,15.31
41236,15.14
41239,15.5
41240,15.92
41241,15.51
41242,15.06
41243,15.87
41246,16.64
41247,17.12
41248,16.46
41249,16.58
41250,15.9
41253,16.05
41254,15.57
41255,15.95
41256,16.56
41257,17
41260,16.34
41261,15.57
41262,17.36
41263,17.67
41264,17.84
41267,18.59
41268,18.59
41269,19.48
41270,19.47
41271,22.72
41274,18.02
41275,18.02
41276,14.68
41277,14.56
41278,13.83
41281,13.79
41282,13.62
41283,13.81
41284,13.49
41285,13.36
41288,13.52
41289,13.55
41290,13.42
41291,13.57
41292,12.46
41295,12.46
41296,12.43
41297,12.46
41298,12.69
41299,12.89
41302,13.57
41303,13.31
41304,14.32
41305,14.28
41306,12.9
41309,14.67
41310,13.72
41311,13.41
41312,13.5
41313,13.02
41316,12.94
41317,12.64
41318,12.98
41319,12.66
41320,12.46
41323,12.46
41324,12.31
41325,14.68
41326,15.22
41327,14.17
41330,18.99
41331,16.87
41332,14.73
41333,15.51
41334,15.36
41337,14.01
41338,13.48
41339,13.53
41340,13.06
41341,12.59
41344,11.56
41345,12.27
41346,11.83
41347,11.3
41348,11.3
41351,13.36
41352,14.39
41353,12.67
41354,13.99
41355,13.57
41358,13.74
41359,12.77
41360,13.15
41361,12.7
41362,12.7
41365,13.58
41366,12.78
41367,14.21
41368,13.89
41369,13.92
41372,13.19
41373,12.84
41374,12.36
41375,12.24
41376,12.06
41379,17.27
41380,13.96
41381,16.51
41382,17.56
41383,14.97
41386,14.39
41387,13.48
41388,13.61
41389,13.62
41390,13.61
41393,13.71
41394,13.52
41395,14.49
41396,13.59
